Artist;Followers;Style;City;Country
blackdropsink;1396;Blackwork;;
;;;Florence;Italy
handpoke.koshanti;4597;Aesthetic;;
;;;Saint Petersburg;Russia
elocktattoo;1866;Blackwork;;
mares_tattooist;82284;Traditional;;
tattoosbychanel;10654;Watercolor;;
;;;Cape Town;South Africa
;;;Johannesburg;South Africa
ashley_perrier;3602;Blackwork;;
;;;Winnipeg;United States of America
norabelvei;1425;Realism;;
steve_maycock_tattoos;2798;Realism;;
;;;Conroe;United States of America
;;;Sacramento;United States of America
mirkodipompeo;3103;Blackwork;;
;;;Sanremo;Italy
virlaneduardtattoo;14482;Trash-Polka;;
;;;Bucharest;Romania
kyra.nako;4491;Aesthetic;;
lucy.moana;27331;Aesthetic;;
;;;Hamburg;Germany
;;;Cologne;Germany
;;;Frankfurt;Germany
;;;Stuttgart;Germany
;;;Dresden;Germany
;;;Munich;Germany
;;;Kassel;Germany
miren_the_forest_witch__;20180;Other;;
;;;Tolouse;France
tatsbyambs;1046;Small;;
;;;Southend on Sea;United Kingdom
stetattoos86;1007;Neo-traditional;;
;;;Darlington;United Kingdom
artinadadu;1657;Linework;;
;;;Julich;Germany
boujee.tattoos;2579;Small;;
kshinetattoos;1669;Other;;
;;;Asheville;United States of America
thomas_tatuajes;6358;Traditional;;
;;;Salt Lake City;United States of America
maubrush;15556;Linework;;
;;;Valencia;Spain
;;;Tours;France
;;;Luxembourg City;Luxembourg
;;;Porrentruy;Switzerland
;;;Essen;Germany
ivoire_noir;34328;Blackwork;;
;;;Marseille;France
;;;Mons;France
;;;Edinburgh;Scotland
gabrielepalma_;39324;Aesthetic;;
;;;Dubai;United Arab Emirates
;;;Sao Paulo;Brazil
;;;Tel Aviv;Israel
;;;Metz;France
;;;Stockholm;Sweden
;;;Varese;Italy
;;;Riccione;Italy
mowgli_artist;150210;Aesthetic;;
;;;London;United Kingdom
mor__asraf;17781;Realism;;
;;;Vienna;Austria
lafragile;79569;Aesthetic;;
jiro_painter;176463;Aesthetic;;
tattooist_mul;10987;Watercolor;;
;;;Melbourne;Australia
mood_indigo_tattoo;5653;Watercolor;;
voldblk;38550;Blackwork;;
;;;Sydney;Australia
;;;Brisbane;Australia
;;;Busan;South Korea
jamesrakotoo;9792;Aesthetic;;
;;;Antananarivo;Madagascar
;;;Geneva;Switzerland
heart.poke;27827;Aesthetic;;
;;;Brighton;United Kingdom
;;;Bristol;United Kingdom
;;;Manchester;United Kingdom
;;;Newcastle;United Kingdom
yeraytat;10524;Linework;;
;;;Manresa;Spain
lola.tattoo;22150;Aesthetic;;
;;;Leipzig;Germany
;;;Helsinki;Finland
;;;Copenhagen;Denmark
;;;Warsaw;Poland
;;;Kiev;Ukraine
;;;Kharko;Ukraine
;;;Lviv;Ukraine
botti_hsu;21901;Other;;
;;;Tainan;Taiwan
;;;Taipei;Taiwan
rimu_tattoo;14954;Watercolor;;
;;;Dusseldorf;Germany
;;;Augsburg;Germany
;;;Singapore;Singapore
gab7sz;36790;Linework;;
becca.rose.tt;15943;Linework;;
;;;San Francisco;United States of America
architex_tattoo;49647;Aesthetic;;
belmontetattoo;70611;Realism;;
;;;Valladolid;Spain
